Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Comfortline,238180.71066,2.0 L Diesel,Feb 2027,2017.0,Automatic,2,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Blue,,,,,2.0 L,4.77 m,1.46 m,1.83 m,5/5,87%,76%,85%,66%,Ireland,N. Ireland,Independent Dealer,"Finglas, Co. Dublin",Passat,14850.0,586 L,15 cm,Co. Dublin,,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
S Line,151999.0,2.0 L Diesel,Apr 2026,2016.0,Automatic,4,Audi,Diesel,Estate,5,Luxury Trim,5,White,,,,,2.0 L,4.66 m,1.66 m,1.89 m,5/5,86%,58%,93%,73%,Ireland,UK,Independent Dealer,"Finglas, Co. Dublin",Q5,26950.0,"1,550 L",21 cm,Co. Dublin,65 L,,,,,selection1,Audi Q5,0.2142518939393939,1,3
S LINE,271000.0,3.0 L Diesel,Jan 2026,2013.0,Automatic,3,Audi,Diesel,Estate,4,Sports Trim,5,Grey,600.0,5.6 L/100 km,6.4 L/100 km,8.0 L/100 km,3.0 L,4.92 m,1.45 m,1.87 m,,,,,,Ireland,UK,"Private Seller
1.0/5 (1)","Balbriggan, Co. Dublin",A6,16500.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
N,310.0,1.9 L Diesel,Jun 2025,2008.0,Manual,7,Volkswagen,,,,,,,280.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
No rating yet","Ballyhacket, Co. Carlow",Golf,2950.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
S,253000.0,2.0 L Diesel,Jul 2025,2012.0,Manual,4,Opel,Diesel,MPV,4,Base Trim,5,Grey,200.0,3.9 L/100 km,4.4 L/100 km,5.3 L/100 km,2.0 L,4.83 m,1.50 m,1.86 m,,,,,,Ireland,No,"Private Seller
No rating yet","Rosslare Harbour, Co. Wexford",Insignia,2550.0,"1,015 L",,,70 L,,,,,selection1,Opel Insignia,0.4604166666666667,1,5
---,131709.99494,2.0 L Diesel,---,2018.0,Manual,3,Skoda,Diesel,Hatchback,5,---,5,Grey,200.0,,,,,,,,,,,,,UK,,Independent Dealer,"Cloughjordan, Co. Tipperary",Octavia,25495.0,,,Co. Tipperary,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
---,91000.0,1.0 L Petrol,Mar 2027,2019.0,Automatic,---,Toyota,Petrol,Hatchback,5,---,---,Blue,,,,,,,,,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Yaris,14500.0,,,Co. Dublin,,,,,,selection1,Toyota Yaris,0.35,2,4
ALTERNATIVE,199073.74866,1.1 L Petrol,Oct 2025,2014.0,Manual,6,Dacia,Petrol,Hatchback,4,Base Trim,5,White,280.0,4.9 L/100 km,5.8 L/100 km,7.6 L/100 km,1.1 L,4.06 m,1.52 m,1.73 m,4/5,79%,55%,80%,57%,Ireland,No,"Private Seller
2.9/5 (9)","Cork City, Co. Cork",Sandero,1975.0,,,,,,,,,selection1,Dacia Sandero,0.1862712842712842,2,3
-,,2.0 L Diesel,Jan 2026,2014.0,Manual,4,Audi,Diesel,Saloon,4,Base Trim,5,Black,200.0,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,2.0 L,4.70 m,1.43 m,1.83 m,,,,,,Ireland,No,"Verified Private Seller
No rating yet","Claremorris, Co. Mayo",A4,9400.0,,,,,,,,,selection1,Audi A4,0.1259649122807017,1,2
---,60000.0,2.0 L Diesel,Apr 2026,2018.0,Automatic,1,Volkswagen,Diesel,MPV,5,---,7,Black,,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
4.9/5 (41)","North City, Co. Dublin",Caravelle,51000.0,,,,,,,,,selection1,Volkswagen Caravelle,0.0,1,5
Highline,107711.0,1.4 L Petrol,Jan 2027,2016.0,Manual,1,Volkswagen,Petrol,Hatchback,3,Medium Trim,5,Blue,200.0,4.3 L/100 km,4.8 L/100 km,5.9 L/100 km,1.4 L,4.26 m,1.45 m,1.79 m,,,,,,Ireland,Unknown country,"Verified Private Seller
3.6/5 (9)",Co. Offaly,Golf,14750.0,"1,270 L",14 cm,,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
COMFORTLINE,177027.4,2.0 L Diesel,Oct 2025,2012.0,Manual,1,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Black,280.0,4.5 L/100 km,5.2 L/100 km,6.3 L/100 km,2.0 L,4.77 m,1.47 m,1.82 m,,,,,,Ireland,N. Ireland,"Trader
5.0/5 (1)","Carlingford, Co. Louth",Passat,5500.0,,,,,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
Ambition,176000.0,2.0 L Diesel,Dec 2025,2014.0,Manual,1,Skoda,Diesel,Hatchback,5,Medium Trim,5,Grey,190.0,3.6 L/100 km,4.1 L/100 km,5.0 L/100 km,2.0 L,4.66 m,1.46 m,1.81 m,5/5,86%,66%,93%,82%,Ireland,UK,"Private Seller
No rating yet","Grange, Co. Sligo",Octavia,9450.0,"1,580 L",14 cm,,50 L,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
N,300217.54898,1.6 L Diesel,Oct 2025,2010.0,---,2,Hyundai,,,,,,,200.0,,,,,,,,,,,,,Ireland,UK,"Private Seller
No rating yet","Galbally, Co. Limerick",i30,2600.0,,,,,,,,,selection1,Hyundai i30,0.1575883838383838,1,2
BlueGT,93436.0,1.4 L Petrol,Oct 2024,2014.0,Automatic,1,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,Black,190.0,4.1 L/100 km,4.7 L/100 km,5.8 L/100 km,1.4 L,3.97 m,1.45 m,1.68 m,5/5,86%,71%,90%,41%,Ireland,Unknown country,"Private Seller
No rating yet","Limerick City, Co. Limerick",Polo,11000.0,952 L,14 cm,,45 L,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
GTE,123025.0,1.4 L Petrol,Mar 2027,2015.0,Automatic,1,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,Blue,270.0,,,,1.4 L,4.27 m,1.46 m,1.80 m,5/5,89%,71%,94%,65%,Ireland,Unknown country,"Private Seller
No rating yet","Limerick City, Co. Limerick",Golf,13500.0,"1,162 L",14 cm,,40 L,,,,,selection1,Volkswagen Golf,0.0,1,5
---,0.0,1.5 L Diesel,---,2012.0,Manual,0,Nissan,Diesel,SUV,5,---,5,White,270.0,,,,,,,,,,,,,Northern Ireland,,Independent Dealer,"Trillick, Co. Tyrone",Juke,1462.5,,,Co. Tyrone,,,,,,selection1,Nissan Juke,0.0907860614228538,1,1
SPORT,12100.0,2.0 L Diesel,Sep 2025,2014.0,Automatic,3,Volkswagen,Diesel,Coupe,4,Sports Trim,5,Grey,280.0,4.5 L/100 km,5.1 L/100 km,6.1 L/100 km,2.0 L,4.80 m,1.42 m,1.86 m,,,,,,Ireland,No,"Private Seller
No rating yet","Sligo Town, Co. Sligo",CC,10000.0,,,,,,,,,selection1,Volkswagen CC,0.1639339826839827,1,2
---,51738.67166,Electric,May 2027,2023.0,Automatic,1,Jaguar,Electric,SUV,5,---,5,Blue,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,I-Pace,40950.0,,,Co. Dublin,,,,,,selection1,Jaguar I-Pace,0.0591117649711399,1,2
---,319856.325,2.0 L Diesel,---,2019.0,Manual,2,Volkswagen,Diesel,MPV,5,---,2,Grey,330.0,,,,,,,,,,,,,Ireland,No,Independent Dealer,Co. Limerick,Caddy,11950.0,,,,,,,,,selection1,Volkswagen Caddy,0.4,1,3
---,220000.0,2.2 L Diesel,May 2025,2015.0,Manual,2,Mazda,Diesel,Saloon,4,---,---,Blue,190.0,,,,,,,,,,,,,Ireland,No,Independent Dealer,Co. Limerick,Mazda3,6450.0,,,,,,,,,selection1,Mazda Mazda3,0.1416666666666666,1,3
DYNAMIQUE NAV,70000.0,1.1 L Petrol,Oct 2025,2015.0,Manual,5,Renault,Petrol,Hatchback,5,Medium Trim,5,Red,270.0,4.7 L/100 km,5.6 L/100 km,7.2 L/100 km,1.1 L,4.06 m,1.45 m,1.73 m,,,,,,Ireland,N. Ireland,"Verified Private Seller
No rating yet","Drogheda, Co. Louth",Clio,8995.0,"1,146 L",12 cm,,45 L,,,,,selection1,Renault Clio,0.3897186147186148,2,4
AMBITION,34000.0,1.2 L Petrol,Jan 2025,2017.0,Manual,2,Skoda,Petrol,Estate,4,Medium Trim,5,Grey,190.0,4.0 L/100 km,4.7 L/100 km,6.0 L/100 km,1.2 L,3.99 m,1.47 m,1.73 m,5/5,81%,69%,81%,69%,Ireland,No,"Verified Private Seller
No rating yet","Drogheda, Co. Louth",Fabia,9995.0,,,,,,,,,selection1,Skoda Fabia,0.0,1,5
---,20189.0,1.0 L Petrol,May 2027,2021.0,Automatic,1,Audi,Petrol,Hatchback,5,---,---,Black,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,A3,28900.0,,,Co. Dublin,,,,,,selection1,Audi A3,0.2924242424242424,1,3
---,0.0,Unknown,---,2015.0,Unknown,3,Hyundai,Unknown,Unknown,---,---,---,Silver,,,,,,,,,,,,,,Northern Ireland,,Independent Dealer,"Trillick, Co. Tyrone",i30,3334.5,,,Co. Tyrone,,,,,,selection1,Hyundai i30,0.1575883838383838,1,2
SE,144000.0,2.0 L Diesel,May 2026,2014.0,Manual,1,Audi,Diesel,Saloon,4,Medium Trim,5,Red,200.0,4.1 L/100 km,4.6 L/100 km,5.5 L/100 km,2.0 L,4.70 m,1.43 m,1.83 m,5/5,84%,71%,93%,39%,Ireland,N. Ireland,"Private Seller
No rating yet",Co. Limerick,A4,12999.0,,,,,,,,,selection1,Audi A4,0.1259649122807017,1,2
TX,149000.0,1.6 L Diesel,Dec 2024,2012.0,Manual,5,Kia,Diesel,Hatchback,3,Medium Trim,5,Silver,200.0,4.1 L/100 km,4.5 L/100 km,5.2 L/100 km,1.6 L,4.25 m,1.45 m,1.79 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Ballinrobe, Co. Mayo",Ceed,4000.0,,,,,,,,,selection1,Kia Ceed,0.1712962962962962,1,3
Style,260050.0,1.6 L Diesel,Jul 2025,2015.0,Manual,2,Ford,Diesel,Hatchback,4,Medium Trim,5,Silver,190.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.36 m,1.47 m,1.82 m,5/5,82%,71%,92%,72%,Ireland,No,"Verified Private Seller
No rating yet","Santry, Co. Dublin",Focus,7950.0,"1,215 L",,,53 L,,,,,selection1,Ford Focus,0.0116071428571428,1,4
---,63500.0,2.0 L Diesel,---,2017.0,Automatic,3,Audi,Diesel,Saloon,4,---,5,Blue,190.0,,,,,,,,,,,,,Other,,"Private Seller
No rating yet","Enniskillen, Co. Fermanagh",A6,17257.5,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
Trendline,251869.7567,1.6 L Diesel,Mar 2025,2017.0,Manual,3,Volkswagen,Diesel,Estate,5,Base Trim,5,White,190.0,3.5 L/100 km,3.9 L/100 km,4.5 L/100 km,1.6 L,4.26 m,1.49 m,1.79 m,5/5,89%,71%,94%,65%,Ireland,No,"Verified Private Seller
No rating yet","Santry, Co. Dublin",Golf,11350.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
Life,37014.82,1.0 L Petrol,---,2022.0,Automatic,0,Volkswagen,Petrol,Hatchback,5,---,5,White,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,Polo,24950.0,,,Co. Cork,,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
Progressive,56559.0,2.0 L Diesel,Jun 2026,2022.0,Automatic,1,Mercedes-Benz,Diesel,MPV,5,Base Trim,7,White,270.0,,5.5 L/100 km,,2.0 L,4.63 m,,1.83 m,5/5,88%,74%,92%,78%,Ireland,No,"Franchise Dealer
4.8/5",Co. Wexford,GLB,46895.0,,,Co. Wexford,,,,,,selection1,Mercedes-Benz GLB,0.0055555555555555,2,4
S Line,78857.66,1.4 L Petrol,---,2018.0,Automatic,0,Audi,Petrol,SUV,5,---,5,White,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,Q2,26950.0,,,Co. Cork,,,,,,selection1,Audi Q2,0.2333333333333333,1,2
---,120000.0,2.0 L Diesel,Mar 2026,2022.0,Automatic,2,Audi,Diesel,SUV,4,---,---,Black,200.0,,,,,,,,,,,,,Ireland,No,Independent Dealer,Co. Wexford,Q2,31900.0,,,Co. Wexford,,,,,,selection1,Audi Q2,0.2333333333333333,1,2
Pure,180246.08,2.2 L Diesel,---,2015.0,Manual,0,Land Rover,Diesel,SUV,5,---,5,White,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,Range Rover Evoque,0.0,,,Co. Cork,,,,,,selection1,Land Rover Range Rover Evoque,-0.75,1,2
S Line,78857.66,1.4 L Petrol,---,2018.0,Automatic,0,Audi,Petrol,SUV,5,---,5,White,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,Q2,26950.0,,,Co. Cork,,,,,,selection1,Audi Q2,0.2333333333333333,1,2
GTI,120700.5,2.0 L Petrol,---,2015.0,Automatic,0,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,Grey,0.0,5.3 L/100 km,6.4 L/100 km,8.1 L/100 km,2.0 L,4.27 m,1.44 m,1.80 m,5/5,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,Golf,19950.0,"1,270 L",13 cm,Co. Cork,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
S Line,46670.86,1.4 L Petrol,---,2018.0,Automatic,0,Audi,Petrol,Saloon,5,Sports Trim,5,Black,0.0,4.1 L/100 km,4.7 L/100 km,5.8 L/100 km,1.4 L,4.31 m,1.43 m,1.79 m,5/5,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,A3,0.0,"1,220 L",,Co. Cork,,,,,,selection1,Audi A3,0.2924242424242424,1,3
all,43452.18,1.4 L Petrol,---,2020.0,Automatic,0,Audi,Petrol,Hatchback,5,---,5,White,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,A3,29950.0,,,Co. Cork,,,,,,selection1,Audi A3,0.2924242424242424,1,3
R-DESIGN,148059.28,2.0 L Diesel,---,2017.0,Manual,2,Volvo,Diesel,SUV,5,---,5,Grey,0.0,,,,,,,,,,,,,Ireland,Unknown,"Independent Dealer
5.0/5",Co. Cork,XC60,23950.0,,,Co. Cork,,,,,,selection1,Volvo XC60,0.0266233766233766,1,1
EX,174000.0,2.0 L Diesel,Nov 2025,2012.0,Manual,4,Kia,Diesel,MPV,4,Base Trim,5,Brown,400.0,5.1 L/100 km,5.7 L/100 km,6.8 L/100 km,2.0 L,4.44 m,1.65 m,1.86 m,,,,,,Ireland,No,Independent Dealer,Co. Kerry,Sportage,8750.0,"1,353 L",17 cm,Co. Kerry,58 L,,,,,selection1,Kia Sportage,0.1666666666666666,1,4
---,0.0,1.6 L Diesel,---,2012.0,Manual,6,Skoda,Diesel,Hatchback,5,---,5,Silver,200.0,,,,,,,,,,,,,Northern Ireland,,Independent Dealer,"Trillick, Co. Tyrone",Superb,1638.0,,,Co. Tyrone,,,,,,selection1,Skoda Superb,0.4194805194805195,2,5
N,160756.9726,1.4 L Petrol,Mar 2025,2010.0,---,3,Volkswagen,,,,,,,400.0,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
2.9/5 (9)","Cork City, Co. Cork",Scirocco,9000.0,,,,,,,,,selection1,Volkswagen Scirocco,0.4875,1,5
---,141621.92,1.5 L Petrol Hybrid,Jul 2026,2014.0,Automatic,1,Honda,Petrol Hybrid,Hatchback,5,---,5,Silver,170.0,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Belturbet, Co. Cavan",Fit,8200.0,,,,,,,,,selection1,Honda Fit,0.3854166666666667,2,4
---,95066.93248,Electric,May 2027,2020.0,Automatic,2,Audi,Electric,Estate,5,---,5,Black,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,e-tron,30950.0,,,Co. Dublin,,,,,,selection1,Audi e-tron,0.3371428571428572,1,3
DYNAMIQUE,139000.0,1.5 L Diesel,Nov 2025,2014.0,Manual,2,Renault,Diesel,Saloon,4,Medium Trim,5,Black,200.0,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,1.5 L,4.62 m,1.48 m,1.81 m,4/5,83%,84%,72%,37%,Ireland,No,"Trader
4.5/5 (22)","Enniscorthy, Co. Wexford",Fluence,5995.0,530 L,,,,,,,,selection1,Renault Fluence,0.3178571428571429,1,3
---,0.0,1.5 L Diesel,---,2017.0,Manual,4,Renault,Diesel,Hatchback,5,---,5,Grey,180.0,,,,,,,,,,,,,UK,,Independent Dealer,"Trillick, Co. Tyrone",Clio,4972.5,,,Co. Tyrone,,,,,,selection1,Renault Clio,0.3897186147186148,2,4
-,264000.0,2.0 L Diesel,Sep 2025,2012.0,Manual,3,Volkswagen,Diesel,Coupe,4,Base Trim,5,Black,270.0,4.3 L/100 km,4.7 L/100 km,5.7 L/100 km,2.0 L,4.80 m,1.42 m,1.86 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Ennis, Co. Clare",CC,6900.0,0 L,12 cm,,70 L,,,,,selection1,Volkswagen CC,0.1639339826839827,1,2
N,272300.328,1.4 L Petrol,Jan 2026,2007.0,Manual,7,Toyota,,,,,,,385.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
5.0/5 (1)","Croom, Co. Limerick",Corolla,3200.0,,,,,,,,,selection1,Toyota Corolla,0.1815716911764706,1,1
---,84865.32622,Electric,May 2027,2021.0,Automatic,1,Audi,Electric,Estate,5,---,5,Red,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,e-tron,34950.0,,,Co. Dublin,,,,,,selection1,Audi e-tron,0.3371428571428572,1,3
SX,180648.0,1.6 L Diesel,Jul 2025,2011.0,Manual,3,Peugeot,Diesel,MPV,5,Medium Trim,5,Black,280.0,4.5 L/100 km,5.2 L/100 km,6.4 L/100 km,1.6 L,4.37 m,1.64 m,1.84 m,,,,,,Ireland,No,"Private Seller
5.0/5 (1)",Co. Dublin,3008,2600.0,,,,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
SE,252666.38,1.6 L Diesel,Sep 2025,2016.0,Manual,3,Audi,Diesel,Hatchback,5,Luxury Trim,5,Silver,180.0,3.4 L/100 km,3.8 L/100 km,4.5 L/100 km,1.6 L,4.31 m,1.43 m,1.79 m,5/5,87%,86%,95%,74%,Ireland,UK,"Private Seller
3.3/5 (4)","Walkinstown, Co. Dublin",A3,7850.0,"1,220 L",,,,,,,,selection1,Audi A3,0.2924242424242424,1,3
Terra,140000.0,2.0 L Diesel,Jul 2025,2011.0,Manual,5,Toyota,Diesel,Saloon,4,Base Trim,5,Black,280.0,4.5 L/100 km,5.3 L/100 km,6.7 L/100 km,2.0 L,4.70 m,1.48 m,1.81 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Dublin 24, Co. Dublin",Avensis,3200.0,,,,,,,,,selection1,Toyota Avensis,0.0589657738095238,1,2
---,83745.0,1.4 L Petrol,May 2026,2015.0,Automatic,1,Volkswagen,Petrol,MPV,5,---,---,Blue,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,Sharan,17950.0,,,Co. Dublin,,,,,,selection1,Volkswagen Sharan,0.75,2,5
-,68437.0,1.4 L Petrol,Feb 2027,2015.0,Automatic,1,Audi,Petrol,Hatchback,3,Base Trim,5,Black,200.0,4.1 L/100 km,5.1 L/100 km,6.7 L/100 km,1.4 L,4.24 m,1.42 m,1.78 m,5/5,87%,86%,95%,74%,Ireland,Unknown country,"Private Seller
No rating yet","Waterford City, Co. Waterford",A3,13550.0,"1,100 L",,,,,,,,selection1,Audi A3,0.2924242424242424,1,3
Dynamique S Nav,108000.0,1.5 L Diesel,Mar 2027,2017.0,Manual,2,Renault,Diesel,SUV,4,Medium Trim,5,Red,190.0,3.8 L/100 km,3.9 L/100 km,4.2 L/100 km,1.5 L,4.45 m,1.61 m,1.84 m,5/5,81%,71%,89%,74%,Ireland,No,"Private Seller
No rating yet","Lucan, Co. Dublin",Kadjar,12800.0,,,,,,,,,selection1,Renault Kadjar,0.1785037878787878,2,2
SV Premium +SS,193000.0,1.5 L Diesel,May 2026,2019.0,Manual,1,Nissan,Diesel,Hatchback,5,Medium Trim,5,Grey,190.0,3.6 L/100 km,3.8 L/100 km,4.2 L/100 km,1.5 L,4.39 m,1.59 m,1.81 m,,,,,,Ireland,UK,Independent Dealer,"Strabane, Co. Tyrone",Qashqai,15700.0,"1,585 L",,,,,,,,selection1,Nissan Qashqai,0.019047619047619,1,2
SE,102700.0,1.4 L Petrol,Jun 2026,2016.0,Manual,2,Audi,Petrol,Hatchback,5,Luxury Trim,5,White,,,,,1.4 L,4.31 m,1.43 m,1.79 m,5/5,87%,86%,95%,74%,Ireland,No,Independent Dealer,"Firhouse, Co. Dublin",A3,15900.0,"1,220 L",,,,,,,,selection1,Audi A3,0.2924242424242424,1,3
Style,260000.0,1.6 L Diesel,Jan 2026,2012.0,Manual,4,Ford,Diesel,Saloon,4,Base Trim,5,Black,,,,,1.6 L,4.95 m,1.50 m,1.89 m,,,,,,Ireland,No,Independent Dealer,Co. Monaghan,Mondeo,2500.0,,,Co. Monaghan,,,,,,selection1,Ford Mondeo,0.4681818181818182,2,2
---,0.0,2.0 L Diesel,---,2013.0,Manual,5,Audi,Diesel,Saloon,4,---,5,Blue,280.0,,,,,,,,,,,,,UK,,Independent Dealer,"Trillick, Co. Tyrone",A4,5025.15,,,Co. Tyrone,,,,,,selection1,Audi A4,0.1259649122807017,1,2
N,75638.98,1.1 L Petrol,Jan 2026,2010.0,Manual,1,Fiat,,,,,,,200.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
5.0/5 (1)","Ayrfield, Co. Dublin",Panda,2950.0,,,,,,,,,selection1,Fiat Panda,0.4319047619047618,2,1
---,321868.0,2.0 L Diesel,Mar 2027,2015.0,---,1,Volkswagen,Diesel,MPV,---,---,9,White,1250.0,,,,2.0 L,,,,,,,,,Ireland,UK,"Verified Private Seller
No rating yet","Galway City, Co. Galway",Transporter,27500.0,,,,,,,,,selection1,Volkswagen Transporter,-0.5,1,1
---,74142.2938,Electric,May 2027,2020.0,Automatic,1,Audi,Electric,Estate,5,---,5,Black,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,e-tron,30950.0,,,Co. Dublin,,,,,,selection1,Audi e-tron,0.3371428571428572,1,3
SPORT,0.0,2.0 L Diesel,---,2013.0,Automatic,0,Volkswagen,Diesel,Coupe,3,Base Trim,4,Blue,270.0,4.5 L/100 km,4.9 L/100 km,5.9 L/100 km,2.0 L,4.26 m,1.40 m,1.81 m,,,,,,Northern Ireland,,Independent Dealer,"Trillick, Co. Tyrone",Scirocco,6429.15,"1,006 L",,Co. Tyrone,,,,,,selection1,Volkswagen Scirocco,0.4875,1,5
Ambition,39000.0,2.0 L Diesel,Feb 2027,2023.0,Manual,1,Skoda,Diesel,SUV,5,Base Trim,5,Blue,200.0,,4.8 L/100 km,,2.0 L,4.38 m,1.60 m,1.84 m,5/5,79%,58%,93%,73%,Ireland,No,"Franchise Dealer
4.7/5",Co. Kilkenny,Karoq,34450.0,"1,630 L",16 cm,Co. Kilkenny,50 L,,,,,selection1,Skoda Karoq,0.2818181818181818,2,1
---,10.0,1.2 L Petrol,---,2025.0,Manual,---,Opel,Petrol,Hatchback,5,---,---,Grey,,,,,,,,,,,,,,,,"Franchise Dealer
4.4/5",Co. Cork,Astra,,,,Co. Cork,,,,,,selection1,Opel Astra,0.2083333333333333,1,4
Titanium,333258.90852,2.0 L Diesel,Jan 2025,2011.0,Manual,2,Ford,Diesel,MPV,---,Luxury Trim,7,Grey,400.0,4.9 L/100 km,5.7 L/100 km,7.2 L/100 km,2.0 L,4.80 m,1.66 m,1.88 m,,,,,,Ireland,UK,Independent Dealer,Co. Wexford,S-Max,,,,Co. Wexford,,,,,,selection1,Ford S-Max,0.2285714285714285,1,1
Sol,85480.0,1.8 L Hybrid,Mar 2026,2022.0,Automatic,1,Toyota,Hybrid,SUV,4,Luxury Trim,5,---,,,,,1.8 L,4.39 m,1.56 m,1.80 m,5/5,77%,78%,95%,76%,Ireland,No,"Franchise Dealer
4.7/5","Dublin 22, Co. Dublin",C-HR,27950.0,"1,164 L",14 cm,Co. Dublin,43 L,122 hp,,0.7 kWh,11.0 sec,selection1,Toyota C-HR,0.0,1,5
---,0.0,1.6 L Diesel,---,2018.0,Manual,2,Skoda,Diesel,Hatchback,5,---,5,Silver,190.0,,,,,,,,,,,,,UK,,Independent Dealer,"Trillick, Co. Tyrone",Octavia,5727.15,,,Co. Tyrone,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
N,245000.0,2.0 L Diesel,Jun 2022,2009.0,---,7,Audi,,,,,,,280.0,,,,,,,,,,,,,Ireland,N. Ireland,"Verified Private Seller
No rating yet","Cork City, Co. Cork",A6,750.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
S Line,24151.0,2.0 L Diesel,Sep 2028,2024.0,Automatic,1,Audi,Diesel,Saloon,5,Sports Trim,5,Grey,,,,,2.0 L,4.94 m,,1.89 m,5/5,85%,76%,93%,81%,Ireland,No,Independent Dealer,"Tralee, Co. Kerry",A6,64900.0,530 L,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
Luxury,192868.0,2.2 L Diesel,Jun 2025,2015.0,Automatic,2,Jaguar,Diesel,Saloon,4,Medium Trim,5,Grey,,,,,2.2 L,4.96 m,1.46 m,1.88 m,4/5,73%,71%,79%,62%,Ireland,UK,Franchise Dealer,Co. Carlow,XF,18945.0,963 L,,Co. Carlow,,,,,,selection1,Jaguar XF,0.0563948306595365,1,2
---,100314.0,1.3 L Petrol,May 2027,2017.0,Automatic,1,Mazda,Petrol,Hatchback,5,---,---,Burgundy,,,,,,,,,,,,,,,,"Independent Dealer
4.4/5",Co. Dublin,Demio,11900.0,,,Co. Dublin,,,,,,selection1,Mazda Demio,0.1818939393939394,2,1
Allure,30780.0,1.2 L Petrol,Feb 2027,2023.0,Automatic,1,Peugeot,Petrol,MPV,4,Medium Trim,5,Grey,,,,,1.2 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,Franchise Dealer,"Galway City, Co. Galway",3008,36990.0,,,Co. Galway,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
Business,204999.0,2.0 L Diesel,Apr 2027,2021.0,Automatic,1,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Grey,200.0,,4.8 L/100 km,,2.0 L,4.78 m,,1.83 m,5/5,87%,76%,85%,66%,Ireland,No,Independent Dealer,"Nenagh, Co. Tipperary",Passat,19950.0,586 L,,Co. Tipperary,,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
